"","dataset","Species","koppen_geiger"
"575","European","Jasminum sambac","Cfb; Csa; Dfb"
"576","European","Ligustrum confusum",NA
"577","European","Ligustrum japonicum","Cfb; Csa; Csb; Dfb"
"578","European","Ligustrum lucidum","Cfb; Csa; Csb; Dfb"
"579","European","Ligustrum obtusifolium","Cfb; Csa; Dfb"
"580","European","Ligustrum sinense","Cfb; Csa; Csb; Dfb"
"581","European","Ligustrum vulgare","Cfb; Csa; Csb; Dfb"
"582","European","Olea brachiata",NA
"583","European","Olea europaea","Cfb; Csa; Csb; Dfb"
"584","European","Olea hainanensis",NA
"585","European","Olea salicifolia",NA
"586","European","Olea tsoongii","Cfb"
"587","European","Osmanthus fragrans","Cfb; Csb; Dfb"
"588","European","Osmanthus heterophyllus","Cfb; Csa; Csb; Dfb"
"589","European","Osmanthus suavis",NA
"590","European","Phillyrea latifolia","Cfb; Csa; Csb; Dfb"
"591","European","Syringa emodi","Cfb; Dfb"
"592","European","Syringa pinnatifolia","Cfb"
"593","European","Syringa reticulata","Cfb; Dfb"
"594","European","Champereia manillana",NA
"595","European","Paulownia fortunei","Cfb; Csa"
"596","European","Paulownia tomentosa","Cfb; Csa; Csb; Dfb"
"597","European","Adinandra bockiana",NA
"598","European","Cleyera japonica","Cfb; Csa; Csb"
"599","European","Eurya cavinervis",NA
"600","European","Eurya cerasifolia",NA
"601","European","Eurya japonica","Cfb"
"602","European","Eurya osimensis",NA
"603","European","Ternstroemia gymnanthera","Cfb"
"604","European","Visnea mocanera","Csa"
"605","European","Antidesma japonicum",NA
"606","European","Bischofia polycarpa","Cfb"
"607","European","Bridelia balansae",NA
"608","European","Flueggea anatolica",NA
"609","European","Flueggea suffruticosa","Cfb; Csa; Dfb"
"610","European","Glochidion acuminatum",NA
"611","European","Glochidion lanceolatum",NA
"612","European","Glochidion obovatum",NA
"613","European","Glochidion zeylanicum",NA
"614","European","Phyllanthus flexuosus","Cfb"
"615","European","Piper kadsura",NA
"616","European","Pittosporum tobira","Cfb; Csa; Csb; Dfb"
"617","European","Platanus x_hispanica","Cfb; Csa; Csb; Dfb"
"618","European","Calligonum comosum","Csa"
"619","European","Maesa chisia",NA
"620","European","Maesa japonica",NA
"621","European","Maesa macrophylla",NA
"622","European","Maesa tenera",NA
"623","European","Ardisia crenata","Cfb; Csa"
"624","European","Ardisia japonica","Cfb; Dfb"
"625","European","Ardisia quinquegona",NA
"626","European","Ardisia sieboldii","Csb"
"627","European","Myrsine seguinii",NA
"628","European","Helicia cochinchinensis",NA
"629","European","Helicia nilagirica",NA
"630","European","Clematis apiifolia","Cfb; Dfb"
"631","European","Clematis cirrhosa","Cfb; Csa; Csb; Dfb"
"632","European","Clematis vitalba","Cfb; Csa; Csb; Dfb"
"633","European","Ochradenus baccatus","Csa"
"634","European","Reseda luteola","Cfb; Csa; Csb; Dfb"
"635","European","Berchemia floribunda","Cfb; Dfb"
"636","European","Berchemiella berchemiifolia",NA
"637","European","Frangula alnus","Cfb; Csa; Csb; Dfb"
"638","European","Frangula crenata","Dfb"
"639","European","Hovenia acerba",NA
"640","European","Hovenia dulcis","Cfb; Csa; Csb; Dfb"
"641","European","Paliurus ramosissimus",NA
"642","European","Paliurus spina-christi","Cfb; Csa; Csb; Dfb"
"643","European","Rhamnella franguloides","Cfb"
"644","European","Rhamnus alaternus","Cfb; Csa; Csb; Dfb"
"645","European","Rhamnus cathartica","Cfb; Csa; Csb; Dfb"
"646","European","Rhamnus costata",NA
"647","European","Rhamnus depressa","Dfb"
"648","European","Rhamnus japonica","Cfb"
"649","European","Rhamnus microcarpa",NA
"650","European","Rhamnus staddo",NA
"651","European","Ziziphus jujuba","Cfb; Csa; Csb; Dfb"
"652","European","Ziziphus lotus","Cfb; Csa; Csb"
"653","European","Ziziphus spina-christi","Csa; Csb"
"654","European","Alchemilla alpina","Cfb; Csa; Csb; Dfb"
"655","European","Alniaria alnifolia","Cfb; Dfb"
"656","European","Amelanchier asiatica","Cfb"
"657","European","Cerasus campanulata","Cfb"
"658","European","Cerasus prostrata",NA
"659","European","Chaenomeles chinensis","Cfb; Csa; Csb; Dfb"
"660","European","Chaenomeles thibetica",NA
"661","European","Cotoneaster nummularius","Cfb; Csa; Csb; Dfb"
"662","European","Crataegus azarolus","Cfb; Csa; Csb; Dfb"
"663","European","Crataegus douglasii","Cfb; Dfb"
"664","European","Crataegus germanica","Cfb; Csa; Csb; Dfb"
"665","European","Crataegus hupehensis","Cfb"
"666","European","Crataegus laevigata","Cfb; Csa; Csb; Dfb"
"667","European","Crataegus tanacetifolia","Cfb; Csa; Csb; Dfb"
"668","European","Cydonia oblonga","Cfb; Csa; Csb; Dfb"
"669","European","Dryas octopetala","Cfb; Csb; Dfb"
"670","European","Eriolobus trilobatus","Cfb; Csa; Csb; Dfb"
"671","European","Kerria japonica","Cfb; Csa; Csb; Dfb"
"672","European","Macromeles tschonoskii","Cfb; Dfb"
"673","European","Malus baccata","Cfb; Csa; Dfb"
"674","European","Malus domestica","Cfb; Csa; Csb; Dfb"
"675","European","Malus mandshurica","Cfb; Dfb"
"676","European","Malus sylvestris","Cfb; Csa; Csb; Dfb"
"677","European","Malus toringo","Cfb; Csa; Dfb"
"678","European","Photinia glabra","Cfb; Csa; Csb; Dfb"
"679","European","Photinia serratifolia","Cfb; Csa; Csb; Dfb"
"680","European","Photinia villosa","Cfb; Dfb"
"681","European","Potentilla fruticosa","Cfb; Csa; Csb; Dfb"
"682","European","Prunus apetala",NA
"683","European","Prunus armeniaca","Cfb; Csa; Csb; Dfb"
"684","European","Prunus avium","Cfb; Csa; Csb; Dfb"
"685","European","Prunus buergeriana",NA
"686","European","Prunus cerasifera","Cfb; Csa; Csb; Dfb"
"687","European","Prunus cocomilla",NA
"688","European","Prunus communis",NA
"689","European","Prunus cornuta","Cfb; Dfb"
"690","European","Prunus fordiana",NA
"691","European","Prunus glandulosa","Cfb; Dfb"
"692","European","Prunus grayana","Cfb; Dfb"
"693","European","Prunus incisa","Cfb; Dfb"
"694","European","Prunus jamasakura","Cfb; Dfb"
"695","European","Prunus laurocerasus","Cfb; Csa; Csb; Dfb"
"696","European","Prunus maackii","Cfb; Dfb"
"697","European","Prunus maximowiczii","Cfb; Dfb"
"698","European","Prunus mume","Cfb; Dfb"
"699","European","Prunus napaulensis",NA
"700","European","Prunus nipponica","Cfb; Dfb"
"701","European","Prunus padus","Cfb; Csa; Dfb"
"702","European","Prunus pendula",NA
"703","European","Prunus persica","Cfb; Csa; Csb; Dfb"
"704","European","Prunus phaeosticta",NA
"705","European","Prunus rufa",NA
"706","European","Prunus sargentii","Cfb; Dfb"
"707","European","Prunus serrulata","Cfb; Dfb"
"708","European","Prunus undulata",NA
"709","European","Prunus wilsonii",NA
"710","European","Prunus zippeliana",NA
"711","European","Pseudocydonia sinensis","Cfb; Csa; Csb; Dfb"
"712","European","Pygeum topengii",NA
"713","European","Pyracantha crenulata","Cfb; Csa; Csb; Dfb"
"714","European","Pyrus communis","Cfb; Csa; Csb; Dfb"
"715","European","Pyrus pashia","Cfb; Dfb"
"716","European","Pyrus syriaca","Csa; Csb; Dfb"
"717","European","Pyrus ussuriensis","Cfb; Dfb"
"718","European","Rhaphiolepis bibas","Cfb; Csa; Csb; Dfb"
"719","European","Rhodotypos scandens","Cfb; Csa; Dfb"
"720","European","Rosa brunonii","Cfb; Dfb"
"721","European","Rosa macrophylla","Cfb; Dfb"
"722","European","Rosa multiflora","Cfb; Csa; Csb; Dfb"
"723","European","Rosa rugosa","Cfb; Csa; Csb; Dfb"
"724","European","Rosa sericea","Cfb; Dfb"
"725","European","Rubus crataegifolius","Cfb; Dfb"
"726","European","Sarcopoterium spinosum","Csa; Csb"
"727","European","Sorbaria arborea","Cfb; Csa; Dfb"
"728","European","Sorbaria kirilowii","Cfb; Csa; Dfb"
"729","European","Sorbaria tomentosa","Cfb; Csa; Csb; Dfb"
"730","European","Sorbus aucuparia","Cfb; Csa; Csb; Dfb"
"731","European","Sorbus commixta","Cfb; Dfb"
"732","European","Sorbus cuspidata","Cfb; Dfb"
"733","European","Sorbus foliolosa",NA
"734","European","Sorbus kurzii",NA
"735","European","Sorbus microphylla",NA
"736","European","Sorbus rhamnoides",NA
"737","European","Sorbus ursina",NA
"738","European","Spiraea alpina","Csb"
"739","European","Spiraea dasyantha","Dfb"
"740","European","Spiraea japonica","Cfb; Csa; Dfb"
"741","European","Stephanandra incisa","Cfb; Dfb"
"742","European","Aidia cochinchinensis",NA
"743","European","Antirhea chinensis",NA
"744","European","Lasianthus curtisii",NA
"745","European","Luculia gratissima",NA
"746","European","Sinoadina racemosa","Cfb"
"747","European","Citrus medica","Cfb; Csa; Dfb"
"748","European","Citrus trifoliata","Cfb; Csa; Csb; Dfb"
"749","European","Citrus x_aurantium","Cfb; Csa; Csb; Dfb"
"750","European","Cneorum pulverulentum",NA
"751","European","Cneorum tricoccon","Cfb; Csa; Csb; Dfb"
"752","European","Murraya paniculata","Cfb; Csa; Dfb"
"753","European","Orixa japonica","Cfb; Dfb"
"754","European","Phellodendron amurense","Cfb; Csa; Dfb"
"755","European","Phellodendron chinense","Cfb; Dfb"
"756","European","Ruta chalepensis","Cfb; Csa; Csb; Dfb"
"757","European","Skimmia japonica","Cfb; Csa; Dfb"
"758","European","Tetradium daniellii","Cfb; Dfb"
"759","European","Tetradium glabrifolium",NA
"760","European","Zanthoxylum acanthopodium","Dfb"
"761","European","Zanthoxylum ailanthoides","Csb"
"762","European","Zanthoxylum armatum","Cfb; Csa; Csb; Dfb"
"763","European","Zanthoxylum avicennae",NA
"764","European","Zanthoxylum fauriei",NA
"765","European","Zanthoxylum piperitum","Dfb"
"766","European","Zanthoxylum schinifolium","Dfb"
"767","European","Meliosma alba",NA
"768","European","Meliosma angustifolia",NA
"769","European","Meliosma cuneifolia",NA
"770","European","Meliosma fordii",NA
"771","European","Meliosma kirkii",NA
"772","European","Meliosma myriantha",NA
"773","European","Meliosma oldhami",NA
"774","European","Meliosma rhoifolia",NA
"775","European","Meliosma rigida",NA
"776","European","Meliosma squamulata",NA
"777","European","Meliosma tenuis",NA
"778","European","Meliosma thorelii",NA
"779","European","Meliosma yunnanensis",NA
"780","European","Carrierea calycina",NA
"781","European","Idesia polycarpa","Cfb; Csa; Csb; Dfb"
"782","European","Poliothyrsis sinensis","Cfb"
"783","European","Populus alba","Cfb; Csa; Csb; Dfb"
"784","European","Salix alba",NA
"785","European","Xylosma congesta","Cfb"
"786","European","Xylosma japonicum",NA
"787","European","Salvadora persica","Dfb"
"788","European","Buckleya lanceolata",NA
"789","European","Viscum album","Cfb; Csa; Csb; Dfb"
"790","European","Viscum cruciatum","Cfb; Csa; Csb"
"791","European","Acer amoenum",NA
"792","European","Acer argutum","Cfb; Dfb"
"793","European","Acer campbellii","Cfb"
"794","European","Acer campestre","Cfb; Csa; Csb; Dfb"
"795","European","Acer capillipes","Cfb; Dfb"
"796","European","Acer cappadocicum","Cfb; Csa; Csb; Dfb"
"797","European","Acer carpinifolium","Cfb; Dfb"
"798","European","Acer caudatum","Cfb; Dfb"
"799","European","Acer cissifolium","Cfb; Dfb"
"800","European","Acer crataegifolium","Cfb; Dfb"
"801","European","Acer davidii","Cfb; Csa; Dfb"
"802","European","Acer diabolicum","Cfb; Dfb"
"803","European","Acer distylum","Cfb"
"804","European","Acer ginnala","Cfb; Csa; Csb; Dfb"
"805","European","Acer hermoneum","Csa; Csb"
"806","European","Acer japonicum","Cfb; Csa; Dfb"
"807","European","Acer maximowiczianum","Cfb; Dfb"
"808","European","Acer micranthum","Dfb"
"809","European","Acer mono","Cfb; Csa; Dfb"
"810","European","Acer morifolium",NA
"811","European","Acer nipponicum","Dfb"
"812","European","Acer oblongum","Cfb; Csa; Dfb"
"813","European","Acer palmatum","Cfb; Csa; Csb; Dfb"
"814","European","Acer pectinatum","Cfb"
"815","European","Acer platanoides","Cfb; Csa; Csb; Dfb"
"816","European","Acer rufinerve","Cfb; Dfb"
"817","European","Acer sieboldianum","Cfb; Csa; Dfb"
"818","European","Acer sinensis",NA
"819","European","Acer stachyophyllum","Cfb; Dfb"
"820","European","Acer sterculiaceum","Dfb"
"821","European","Acer syriacum","Cfb; Csa; Csb"
"822","European","Acer tenuifolium","Cfb; Csa; Dfb"
"823","European","Acer triflorum","Cfb; Dfb"
"824","European","Acer ukurunduense","Dfb"
"825","European","Aesculus chinensis","Cfb; Dfb"
"826","European","Aesculus hippocastanum","Cfb; Csa; Csb; Dfb"
"827","European","Aesculus turbinata","Cfb; Dfb"
"828","European","Amesiodendron chinense",NA
"829","European","Boniodendron minus",NA
"830","European","Dipteronia dyeriana",NA
"831","European","Dipteronia sinensis","Cfb; Dfb"
"832","European","Dodonaea viscosa","Cfb; Csa; Csb; Dfb"
"833","European","Eurycorymbus cavaleriei",NA
"834","European","Handeliodendron bodinieri",NA
"835","European","Koelreuteria bipinnata","Cfb; Csa; Csb; Dfb"
"836","European","Koelreuteria paniculata","Cfb; Csa; Csb; Dfb"
"837","European","Sapindus mukorossi","Cfb; Csa; Csb; Dfb"
"838","European","Xanthoceras sorbifolium","Csb; Dfb"
"839","European","Sarcosperma laurinum",NA
"840","European","Schisandra nigra",NA
"841","European","Schoepfia jasminodora",NA
"842","European","Buddleja alternifolia","Cfb; Csa; Dfb"
"843","European","Buddleja asiatica","Cfb; Csa"
"844","European","Buddleja curviflora","Csa"
"845","European","Buddleja davidii","Cfb; Csa; Csb; Dfb"
"846","European","Buddleja nivea","Csa; Dfb"
"847","European","Ailanthus altissima","Cfb; Csa; Csb; Dfb"
"848","European","Picrasma quassioides","Dfb"
"849","European","Sladenia celastrifolia",NA
"850","European","Lycium afrum","Cfb; Csa; Csb"
"851","European","Lycium shawii","Csa"
"852","European","Nicotiana glauca","Cfb; Csa; Csb"
"853","European","Solanum nigrum","Cfb; Csa; Csb; Dfb"
"854","European","Withania adpressa",NA
"855","European","Withania somnifera","Cfb; Csa; Csb; Dfb"
"856","European","Stachyurus chinensis","Cfb; Dfb"
"857","European","Stachyurus himalaicus",NA
"858","European","Stachyurus praecox","Cfb; Dfb"
"859","European","Staphylea bumalda","Cfb; Dfb"
"860","European","Staphylea holocarpa","Cfb; Dfb"
"861","European","Staphylea japonica",NA
"862","European","Perkinsiodendron macgregorii",NA
"863","European","Pterostyrax corymbosus","Cfb"
"864","European","Sinojackia xylocarpa","Cfb"
"865","European","Styrax japonicus","Cfb; Dfb"
"866","European","Styrax obassis","Cfb; Dfb"
"867","European","Styrax odoratissima",NA
"868","European","Styrax officinalis","Cfb; Csa; Csb"
"869","European","Symplocos anomala",NA
"870","European","Symplocos cochinchinensis","Cfb"
"871","European","Symplocos coreana",NA
"872","European","Symplocos glauca",NA
"873","European","Symplocos glomerata",NA
"874","European","Symplocos lancifolia",NA
"875","European","Symplocos liukiuensis",NA
"876","European","Symplocos lucida",NA
"877","European","Symplocos microcalyx",NA
"878","European","Symplocos myrtacea",NA
"879","European","Symplocos nakaharae",NA
"880","European","Symplocos paniculata","Cfb; Dfb"
"881","European","Symplocos pendula",NA
"882","European","Symplocos pyrifolia",NA
"883","European","Symplocos ramosissima",NA
"884","European","Symplocos stellaris",NA
"885","European","Symplocos sumuntia",NA
"886","European","Symplocos theifolia","Csa"
"887","European","Myricaria bracteata","Dfb"
"888","European","Tamarix amplexicaulis",NA
"889","European","Tamarix aphylla","Csa; Csb"
"890","European","Tamarix chinensis","Cfb; Csa; Csb"
"891","European","Tamarix gennessarensis",NA
"892","European","Tamarix getula","Cfb; Csa; Csb"
"893","European","Tamarix nilotica","Csa"
"894","European","Tamarix palaestina","Csa"
"895","European","Tamarix parviflora","Cfb; Csa; Csb; Dfb"
"896","European","Tamarix passerinoides",NA
"897","European","Tamarix tetragyna","Cfb; Csa"
"898","European","Tapiscia sinensis",NA
"899","European","Apterosperma oblatum",NA
"900","European","Camellia grijsii",NA
"901","European","Camellia japonica","Cfb; Csa; Csb; Dfb"
"902","European","Camellia kissi",NA
"903","European","Euryodendron excelsum",NA
"904","European","Gordonia hainanensis",NA
"905","European","Polyspora axillaris",NA
"906","European","Pyrenaria multisepala",NA
"907","European","Schima crenata",NA
"908","European","Schima superba","Cfb"
"909","European","Stewartia monadelpha","Dfb"
"910","European","Stewartia pseudocamellia","Cfb; Dfb"
"911","European","Stewartia rubiginosa",NA
"912","European","Stewartia sinensis",NA
"913","European","Daphne mezereum","Cfb; Csa; Csb; Dfb"
"914","European","Edgeworthia chrysantha","Cfb; Csa; Dfb"
"915","European","Thymelaea hirsuta","Cfb; Csa; Csb"
"916","European","Wikstroemia sikokiana",NA
"917","European","Torricellia angulata",NA
"918","European","Tetracentron sinense",NA
"919","European","Trochodendron aralioides","Cfb; Csb; Dfb"
"920","European","Hemiptelea davidii","Cfb; Dfb"
"921","European","Ulmus canescens","Cfb; Csa; Csb"
"922","European","Ulmus carpinifolia","Cfb; Csa; Dfb"
"923","European","Ulmus castaneifolia",NA
"924","European","Ulmus changii",NA
"925","European","Ulmus davidiana","Cfb; Dfb"
"926","European","Ulmus laciniata","Cfb; Dfb"
"927","European","Ulmus lanceifolia",NA
"928","European","Ulmus macrocarpa",NA
"929","European","Ulmus parvifolia","Cfb; Csa; Csb; Dfb"
"930","European","Ulmus procera","Cfb; Csa; Csb; Dfb"
"931","European","Ulmus pumila","Cfb; Csa; Csb; Dfb"
"932","European","Ulmus uyematsii",NA
"933","European","Zelkova carpinifolia","Cfb; Csa; Dfb"
"934","European","Zelkova schneideriana","Cfb"
"935","European","Zelkova serrata","Cfb; Csa; Csb; Dfb"
"936","European","Zelkova sinica","Cfb"
"937","European","Boehmeria nivea","Cfb; Csa; Dfb"
"938","European","Oreocnide pedunculata",NA
"939","European","Sambucus nigra","Cfb; Csa; Csb; Dfb"
"940","European","Viburnum dilatatum","Cfb"
"941","European","Viburnum japonicum","Cfb"
"942","European","Viburnum lantana","Cfb; Csa; Csb; Dfb"
"943","European","Viburnum odoratissimum","Cfb; Csa; Csb"
"944","European","Viburnum opulus","Cfb; Csb; Dfb"
"945","European","Viburnum tinus","Cfb; Csa; Csb; Dfb"
"946","European","Cayratia corniculata",NA
"947","European","Parthenocissus quinquefolia","Cfb; Csa; Csb; Dfb"
"948","European","Rhoicissus tridentata",NA
"949","European","Vitis amurensis","Cfb; Csa; Dfb"
"950","European","Vitis coignetiae","Cfb; Csa; Dfb"
"951","European","Vitis flexuosa","Dfb"
"952","European","Vitis saccharifera",NA
"953","European","Vitis vinifera","Cfb; Csa; Csb; Dfb"
"954","European","Balanites aegyptiaca","Csa"
"955","European","Fagonia mollis","Csa"
"956","European","Zygophyllum dumosum","Csa"
"957","North American","Liquidambar styraciflua","Csa; Csb"
"958","North American","Cotinus obovatus",NA
"959","North American","Malosma laurina","Csa; Csb"
"960","North American","Rhus aromatica","Csa; Csb"
"961","North American","Rhus copallinum",NA
"962","North American","Rhus glabra","Csa; Csb"
"963","North American","Rhus integrifolia","Csa; Csb"
"964","North American","Rhus microphylla",NA
"965","North American","Rhus ovata","Csa; Csb"
"966","North American","Rhus trilobata","Csa; Csb"
"967","North American","Rhus typhina","Csa; Csb"
"968","North American","Rhus virens",NA
"969","North American","Toxicodendron diversilobum","Csa; Csb"
"970","North American","Toxicodendron radicans",NA
"971","North American","Toxicodendron vernix",NA
"972","North American","Annona glabra",NA
"973","North American","Asimina triloba","Csa; Csb"
"974","North American","Nerium oleander","Csa; Csb"
"975","North American","Orthosia scoparia",NA
"976","North American","Ilex cassine","Csa"
"977","North American","Ilex decidua","Csb"
"978","North American","Ilex mucronata","Csb"
"979","North American","Ilex opaca","Csa; Csb"
"980","North American","Ilex verticillata",NA
"981","North American","Ilex vomitoria","Csb"
"982","North American","Aralia californica","Csa; Csb"
"983","North American","Aralia spinosa","Csa"
"984","North American","Hedera helix","Csa; Csb"
"985","North American","Oplopanax horridus",NA
"986","North American","Ageratina wrightii",NA
"987","North American","Artemisia californica","Csa; Csb"
"988","North American","Artemisia tridentata","Csa; Csb"
"989","North American","Baccharis glomeruliflora",NA
"990","North American","Baccharis halimifolia",NA
"991","North American","Baccharis pilularis","Csa; Csb"
"992","North American","Flourensia cernua",NA
"993","North American","Mikania scandens",NA
"994","North American","Parthenium argentatum","Csa; Csb"
"995","North American","Parthenium incanum",NA
"996","North American","Sidneya tenuifolia",NA
"997","North American","Berberis aquifolium","Csa; Csb"
"998","North American","Berberis nervosa","Csa; Csb"
"999","North American","Berberis thunbergii","Csa; Csb"
"1000","North American","Alnus incana","Csa; Csb"
"1001","North American","Alnus rubra","Csa; Csb"
"1002","North American","Betula alleghaniensis","Csb"
"1003","North American","Betula nigra","Csb"
"1004","North American","Betula occidentalis","Csa; Csb"
"1005","North American","Carpinus caroliniana","Csb"
"1006","North American","Corylus americana",NA
"1007","North American","Corylus cornuta","Csa; Csb"
"1008","North American","Ostrya knowltonii",NA
"1009","North American","Ostrya virginiana",NA
"1010","North American","Bignonia capreolata","Csb"
"1011","North American","Campsis radicans","Csa; Csb"
"1012","North American","Catalpa bignonioides","Csa; Csb"
"1013","North American","Catalpa speciosa","Csa; Csb"
"1014","North American","Chilopsis linearis","Csa; Csb"
"1015","North American","Bourreria ovata",NA
"1016","North American","Cordia boissieri","Csa"
"1017","North American","Cordia sebestena",NA
"1018","North American","Ehretia anacua","Csa"
"1019","North American","Tiquilia greggii",NA
"1020","North American","Calycanthus floridus","Csb"
"1021","North American","Calycanthus occidentalis","Csa; Csb"
"1022","North American","Celtis laevigata","Csa"
"1023","North American","Celtis occidentalis","Csa; Csb"
"1024","North American","Celtis pallida",NA
"1025","North American","Atamisquea emarginata",NA
"1026","North American","Capparis flexuosa",NA
"1027","North American","Symphoricarpos albus","Csa; Csb"
"1028","North American","Casuarina cunninghamiana","Csa; Csb"
"1029","North American","Canotia holacantha",NA
"1030","North American","Maytenus phyllanthoides",NA
"1031","North American","Schaefferia frutescens",NA
"1032","North American","Krascheninnikovia lanata","Csa; Csb"
"1033","North American","Cleomella arborea","Csa; Csb"
"1034","North American","Conocarpus erectus",NA
"1035","North American","Cornus florida","Csa"
"1036","North American","Cornus nuttallii","Csa; Csb"
"1037","North American","Cornus sericea","Csa; Csb"
"1038","North American","Crossosoma bigelovii","Csa; Csb"
"1039","North American","Cliftonia monophylla",NA
"1040","North American","Cyrilla racemiflora",NA
"1041","North American","Diospyros virginiana","Csa; Csb"
"1042","North American","Shepherdia argentea","Csa; Csb"
"1043","North American","Empetrum nigrum","Csb"
"1044","North American","Andromeda polifolia",NA
"1045","North American","Arbutus menziesii","Csa; Csb"
"1046","North American","Arbutus xalapensis","Csb"
"1047","North American","Arctostaphylos uva-ursi","Csa; Csb"
"1048","North American","Arctostaphylos viscida","Csa; Csb"
"1049","North American","Chamaedaphne calyculata",NA
"1050","North American","Comarostaphylis diversifolia","Csa; Csb"
"1051","North American","Gaultheria shallon","Csa; Csb"
"1052","North American","Gaylussacia baccata",NA
"1053","North American","Kalmia latifolia","Csb"
"1054","North American","Leucothoe axillaris",NA
"1055","North American","Leucothoe fontanesiana",NA
"1056","North American","Lyonia ferruginea",NA
"1057","North American","Oxydendrum arboreum",NA
"1058","North American","Rhododendron catawbiense","Csa; Csb"
"1059","North American","Vaccinium arboreum",NA
"1060","North American","Vaccinium ovalifolium","Csb"
"1061","North American","Vaccinium uliginosum","Csa; Csb"
"1062","North American","Zenobia pulverulenta",NA
"1063","North American","Gymnanthes lucida",NA
"1064","North American","Stillingia aquatica",NA
"1065","North American","Chrysolepis chrysophylla","Csa; Csb"
"1066","North American","Fagus grandifolia",NA
"1067","North American","Notholithocarpus densiflorus","Csa; Csb"
"1068","North American","Fouquieria splendens","Csa; Csb"
"1069","North American","Garrya buxifolia","Csa; Csb"
"1070","North American","Garrya elliptica","Csa; Csb"
"1071","North American","Garrya flavescens","Csa; Csb"
"1072","North American","Garrya ovata",NA
"1073","North American","Ribes cynosbati",NA
"1074","North American","Ribes sanguineum","Csa; Csb"
"1075","North American","Fothergilla major",NA
"1076","North American","Hamamelis vernalis","Csa"
"1077","North American","Hamamelis virginiana",NA
"1078","North American","Philadelphus lewisii","Csa; Csb"
"1079","North American","Philadelphus mexicanus","Csb"
"1080","North American","Eriodictyon tomentosum","Csa; Csb"
"1081","North American","Eriodictyon trichocalyx","Csa; Csb"
"1082","North American","Hypericum laricifolium",NA
"1083","North American","Illicium floridanum","Csb"
"1084","North American","Illicium parviflorum",NA
"1085","North American","Carya glabra","Csa; Csb"
"1086","North American","Carya illinoinensis","Csa; Csb"
"1087","North American","Carya laciniosa","Csa"
"1088","North American","Carya ovata",NA
"1089","North American","Carya pallida",NA
"1090","North American","Juglans californica","Csa; Csb"
"1091","North American","Juglans cinerea","Csa; Csb"
"1092","North American","Koeberlinia spinosa","Csa"
"1093","North American","Krameria cytisoides",NA
"1094","North American","Salvia apiana","Csa; Csb"
"1095","North American","Lindera benzoin",NA
"1096","North American","Persea americana","Csa; Csb"
"1097","North American","Persea borbonia",NA
"1098","North American","Sassafras albidum","Csa"
"1099","North American","Umbellularia californica","Csa; Csb"
"1100","North American","Gleditsia aquatica",NA
"1101","North American","Gleditsia triacanthos","Csa; Csb"
"1102","North American","Gymnocladus dioicus","Csa; Csb"
"1103","North American","Parkinsonia aculeata","Csa; Csb"
"1104","North American","Cercis canadensis","Csa; Csb"
"1105","North American","Acaciella angustissima",NA
"1106","North American","Lysiloma latisiliquum",NA
"1107","North American","Mimosa zygophylla",NA
"1108","North American","Neltuma glandulosa","Csa; Csb"
"1109","North American","Prosopis glandulosa","Csa; Csb"
"1110","North American","Prosopis pubescens","Csa; Csb"
"1111","North American","Senegalia berlandieri",NA
"1112","North American","Senegalia greggii","Csa; Csb"
"1113","North American","Acacia wrightii",NA
"1114","North American","Cladrastis kentukea",NA
"1115","North American","Dermatophyllum arizonicum",NA
"1116","North American","Dermatophyllum secundiflorum","Csb"
"1117","North American","Erythrina herbacea",NA
"1118","North American","Olneya tesota","Csa"
"1119","North American","Robinia neomexicana","Csa; Csb"
"1120","North American","Robinia pseudoacacia","Csa; Csb"
"1121","North American","Robinia viscosa","Csb"
"1122","North American","Styphnolobium affine",NA
"1123","North American","Gelsemium sempervirens","Csa; Csb"
"1124","North American","Decodon verticillatus",NA
"1125","North American","Liriodendron tulipifera","Csa; Csb"
"1126","North American","Magnolia acuminata","Csa"
"1127","North American","Magnolia fraseri","Csa"
"1128","North American","Magnolia grandiflora","Csa; Csb"
"1129","North American","Magnolia virginiana",NA
"1130","North American","Byrsonima lucida",NA
"1131","North American","Fremontodendron californicum","Csa; Csb"
"1132","North American","Waltheria Indica",NA
"1133","North American","Malacothamnus fasciculatus","Csa; Csb"
"1134","North American","Firmiana simplex","Csa; Csb"
"1135","North American","Tilia americana","Csa; Csb"
"1136","North American","Maclura pomifera","Csa; Csb"
"1137","North American","Morus alba","Csa; Csb"
"1138","North American","Morus rubra","Csa"
"1139","North American","Morella californica","Csa; Csb"
"1140","North American","Morella cerifera","Csb"
"1141","North American","Myrica gale",NA
"1142","North American","Eugenia axillaris",NA
"1143","North American","Myrcianthes fragrans",NA
"1144","North American","Guapira discolor",NA
"1145","North American","Pisonia aculeata",NA
"1146","North American","Cartrema americana",NA
"1147","North American","Fraxinus americana","Csa; Csb"
"1148","North American","Fraxinus caroliniana","Csa"
"1149","North American","Fraxinus nigra","Csa"
"1150","North American","Dendromecon rigida","Csa; Csb"
"1151","North American","Heterosavia bahamensis",NA
"1152","North American","Picramnia pentandra",NA
"1153","North American","Jacquinia keyensis",NA
"1154","North American","Ardisia escallonioides",NA
"1155","North American","Drypetes diversifolia",NA
"1156","North American","Berchemia scandens",NA
"1157","North American","Ceanothus arboreus","Csa; Csb"
"1158","North American","Ceanothus cordulatus","Csa; Csb"
