"","dataset","Species","koppen_geiger"
"133","European","Corylus avellana","Cfb; Csa; Csb; Dfb"
"134","European","Corylus ferox","Cfb; Dfb"
"135","European","Corylus heterophylla","Cfb; Dfb"
"136","European","Corylus sieboldiana","Cfb; Dfb"
"137","European","Ostrya carpinifolia","Cfb; Csa; Csb; Dfb"
"138","European","Ostrya japonica","Cfb; Dfb"
"139","European","Ostryopsis davidiana","Cfb; Dfb"
"140","European","Catalpa ovata","Cfb; Csa; Csb; Dfb"
"141","European","Cordia sinensis",NA
"142","European","Echium aculeatum","Cfb; Csa"
"143","European","Ehretia acuminata","Cfb; Csa"
"144","European","Ehretia microphylla","Cfb; Csa"
"145","European","Heliotropium arboreum","Cfb"
"146","European","Trichodesma africanum","Cfb"
"147","European","Bretschneidera sinensis",NA
"148","European","Buxus microphylla","Cfb; Csa; Dfb"
"149","European","Buxus sempervirens","Cfb; Csa; Csb; Dfb"
"150","European","Buxus sinica","Cfb; Dfb"
"151","European","Chimonanthus praecox","Cfb; Csa; Csb; Dfb"
"152","European","Aphananthe aspera","Cfb"
"153","European","Celtis australis","Cfb; Csa; Csb; Dfb"
"154","European","Celtis biondii","Dfb"
"155","European","Celtis bungeana","Cfb; Csa; Dfb"
"156","European","Celtis integrifolia",NA
"157","European","Celtis jessoensis","Cfb; Dfb"
"158","European","Celtis sinensis","Cfb; Csa; Csb; Dfb"
"159","European","Celtis tetranda",NA
"160","European","Celtis tournefortii","Cfb; Csa; Csb; Dfb"
"161","European","Celtis vandervoetiana","Cfb"
"162","European","Pteroceltis tatarinowii","Cfb"
"163","European","Trema orientale","Cfb"
"164","European","Boscia integrifolia",NA
"165","European","Cadaba farinosa","Cfb"
"166","European","Cadaba glandulosa",NA
"167","European","Cadaba rotundifolia",NA
"168","European","Capparis cartilaginea",NA
"169","European","Capparis decidua",NA
"170","European","Capparis spinosa","Cfb; Csa; Csb; Dfb"
"171","European","Capparis tomentosa",NA
"172","European","Cleome droserifolia",NA
"173","European","Maerua crassifolia",NA
"174","European","Maerua oblongifolia",NA
"175","European","Leycesteria formosa","Cfb; Csa; Dfb"
"176","European","Lonicera etrusca","Cfb; Csa; Csb; Dfb"
"177","European","Lonicera hypoglauca",NA
"178","European","Lonicera japonica","Cfb; Csa; Csb; Dfb"
"179","European","Lonicera tatarica","Cfb; Csa; Csb; Dfb"
"180","European","Zabelia biflora","Dfb"
"181","European","Gymnocarpos decandrum",NA
"182","European","Casuarina cunninghamiana","Cfb; Csa; Csb; Dfb"
"183","European","Bhesa sinica",NA
"184","European","Celastrus orbiculatus","Cfb; Csa; Dfb"
"185","European","Euonymus alatus","Cfb; Dfb"
"186","European","Euonymus carnosus","Cfb"
"187","European","Euonymus europaeus","Cfb; Csa; Csb; Dfb"
"188","European","Euonymus hamiltonianus","Cfb; Dfb"
"189","European","Euonymus lutchuensis",NA
"190","European","Gymnosporia diversifolia",NA
"191","European","Gymnosporia senegalensis","Csa; Csb; Dfb"
"192","European","Microtropis japonica",NA
"193","European","Tripterygium doianum",NA
"194","European","Cercidiphyllum japonicum","Cfb; Dfb"
"195","European","Cercidiphyllum magnificum","Cfb; Csb; Dfb"
"196","European","Anabasis articulata","Csa"
"197","European","Arthrocnemum macrostachyum",NA
"198","European","Arthrocnemum perenne",NA
"199","European","Atriplex halimus","Cfb; Csa; Csb"
"200","European","Haloxylon persicum",NA
"201","European","Haloxylon scoparium","Csa"
"202","European","Salsola baryosma","Csa"
"203","European","Suaeda fruticosa","Cfb; Csa; Csb"
"204","European","Suaeda monoica",NA
"205","European","Sarcandra glabra","Cfb; Dfb"
"206","European","Cistus albidus","Cfb; Csa; Csb"
"207","European","Cistus laurifolius","Cfb; Csa; Csb; Dfb"
"208","European","Clethra arborea","Cfb; Csa; Csb"
"209","European","Clethra barbinervis","Cfb; Dfb"
"210","European","Clethra fargesii","Dfb"
"211","European","Combretum micranthum",NA
"212","European","Convolvulus floridus","Csa"
"213","European","Convolvulus scoparius",NA
"214","European","Alangium alpinum",NA
"215","European","Alangium chinense","Cfb"
"216","European","Alangium longiflorum",NA
"217","European","Alangium premnifolium",NA
"218","European","Camptotheca acuminata","Cfb; Dfb"
"219","European","Cornus capitata","Cfb; Csa; Csb; Dfb"
"220","European","Cornus controversa","Cfb; Dfb"
"221","European","Cornus kousa","Cfb; Csa; Csb; Dfb"
"222","European","Cornus macrophylla","Cfb; Dfb"
"223","European","Cornus oblonga","Cfb"
"224","European","Cornus officinalis","Cfb; Csb; Dfb"
"225","European","Cornus sanguinea","Cfb; Csa; Csb; Dfb"
"226","European","Cornus walteri","Cfb; Csb; Dfb"
"227","European","Diplopanax stachyanthus",NA
"228","European","Daphniphyllum macropodum","Cfb"
"229","European","Daphniphyllum teysmannii",NA
"230","European","Diospyros ferrea",NA
"231","European","Diospyros japonica","Cfb"
"232","European","Diospyros kaki","Cfb; Csa; Csb; Dfb"
"233","European","Diospyros lotus","Cfb; Csa; Csb; Dfb"
"234","European","Diospyros maritima","Dfb"
"235","European","Diospyros morrisiana",NA
"236","European","Elaeagnus angustifolia","Cfb; Csa; Csb; Dfb"
"237","European","Elaeagnus glabra","Cfb"
"238","European","Elaeagnus macrophylla","Cfb; Csa; Dfb"
"239","European","Elaeagnus multiflora","Cfb; Csa; Dfb"
"240","European","Hippophae rhamnoides","Cfb; Csa; Csb; Dfb"
"241","European","Hippophae salicifolia","Cfb; Dfb"
"242","European","Elaeocarpus japonicus",NA
"243","European","Elaeocarpus sylvestris",NA
"244","European","Sloanea dasycarpa",NA
"245","European","Empetrum nigrum","Cfb; Dfb"
"246","European","Agapetes serpens","Cfb"
"247","European","Andromeda polifolia","Cfb; Dfb"
"248","European","Arbutus andrachne","Cfb; Csa; Csb; Dfb"
"249","European","Arctostaphylos uva-ursi","Cfb; Csa; Csb; Dfb"
"250","European","Calluna vulgaris","Cfb; Csa; Csb; Dfb"
"251","European","Chamaedaphne calyculata","Cfb; Dfb"
"252","European","Elliottia bracteata","Dfb"
"253","European","Elliottia paniculata",NA
"254","European","Enkianthus cernuus",NA
"255","European","Enkianthus deflexus","Dfb"
"256","European","Enkianthus sikokianus",NA
"257","European","Erica arborea","Cfb; Csa; Csb; Dfb"
"258","European","Erica cinerea","Cfb; Csa; Csb"
"259","European","Erica lusitanica","Cfb; Csa; Csb"
"260","European","Eubotryoides grayana","Dfb"
"261","European","Ledum palustre",NA
"262","European","Lyonia ovalifolia",NA
"263","European","Lyonia villosa",NA
"264","European","Menziesia ciliicalyx","Dfb"
"265","European","Pieris formosa","Cfb; Csb"
"266","European","Pieris japonica","Cfb; Csa; Csb; Dfb"
"267","European","Rhododendron albrechtii","Dfb"
"268","European","Rhododendron amanoi",NA
"269","European","Rhododendron barbatum","Cfb"
"270","European","Rhododendron brachycarpum","Cfb; Dfb"
"271","European","Rhododendron campanulatum","Cfb; Dfb"
"272","European","Rhododendron dalhousieae",NA
"273","European","Rhododendron hodgsonii","Dfb"
"274","European","Rhododendron indicum","Cfb; Csa; Csb; Dfb"
"275","European","Rhododendron keiskei","Dfb"
"276","European","Rhododendron kesangiae","Dfb"
"277","European","Rhododendron latoucheae",NA
"278","European","Rhododendron lepidotum",NA
"279","European","Rhododendron metternichii","Cfb; Dfb"
"280","European","Rhododendron quinquefolium","Dfb"
"281","European","Rhododendron serpyllifolium",NA
"282","European","Rhododendron setosum",NA
"283","European","Rhododendron simsii","Cfb; Csb; Dfb"
"284","European","Rhododendron sinogrande",NA
"285","European","Rhododendron triflorum",NA
"286","European","Vaccinium bracteatum","Csb"
"287","European","Vaccinium japonicum",NA
"288","European","Vaccinium ovalifolium","Cfb"
"289","European","Vaccinium smallii",NA
"290","European","Vaccinium uliginosum","Cfb; Csb; Dfb"
"291","European","Vaccinium wrightii",NA
"292","European","Vaccinium yakushimense",NA
"293","European","Eucommia ulmoides","Cfb; Csb; Dfb"
"294","European","Macaranga tanarius",NA
"295","European","Mallotus japonicus","Csa; Csb"
"296","European","Melanolepis multiglandulosa",NA
"297","European","Neoshirakia japonica","Cfb"
"298","European","Ricinus communis","Cfb; Csa; Csb; Dfb"
"299","European","Sapium japonicum","Cfb"
"300","European","Triadica cochinchinensis",NA
"301","European","Vernicia cordata",NA
"302","European","Vernicia fordii","Cfb; Csb"
"303","European","Vernicia montana",NA
"304","European","Euptelea polyandra",NA
"305","European","Castanea crenata","Cfb; Csa; Csb; Dfb"
"306","European","Castanea mollissima","Cfb; Dfb"
"307","European","Castanopsis cuspidata","Cfb"
"308","European","Castanopsis eyrei",NA
"309","European","Castanopsis sclerophylla",NA
"310","European","Castanopsis sieboldii",NA
"311","European","Fagus crenata","Cfb; Dfb"
"312","European","Fagus grandifolia","Cfb; Csb; Dfb"
"313","European","Fagus orientalis","Cfb; Csa; Csb; Dfb"
"314","European","Lithocarpus edulis","Cfb; Csa; Dfb"
"315","European","Lithocarpus megalophyllus",NA
"316","European","Lithocarpus uraianus",NA
"317","European","Quercus acutissima","Cfb; Dfb"
"318","European","Quercus phillyreoides","Cfb"
"319","European","Quercus suber","Cfb; Csa; Csb; Dfb"
"320","European","Quercus variabilis","Cfb; Dfb"
"321","European","Aucuba japonica","Cfb; Csa; Csb; Dfb"
"322","European","Ixanthus viscosus","Cfb; Dfb"
"323","European","Globularia salicina","Cfb; Csa; Csb"
"324","European","Scaevola taccada","Cfb; Dfb"
"325","European","Ribes japonicum",NA
"326","European","Ribes nigrum","Cfb; Csa; Dfb"
"327","European","Chunia bucklandioides",NA
"328","European","Corylopsis gotoana","Cfb"
"329","European","Corylopsis multiflora",NA
"330","European","Corylopsis spicata","Cfb; Dfb"
"331","European","Disanthus cercidifolius","Dfb"
"332","European","Distylium myricoides","Cfb"
"333","European","Distylium racemosum","Cfb"
"334","European","Eustigma oblongifolium",NA
"335","European","Exbucklandia tonkinensis",NA
"336","European","Fortunearia sinensis","Cfb"
"337","European","Hamamelis japonica","Cfb; Dfb"
